date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:59:11	62020/62020	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20Sep%202020%2011:59:11%20GMT	https://enjin.io/product/multiverse-mug	enjin.io/product/multiverse-mug.html	(from https://enjin.io/category/mugs)
21:59:11	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2027%20Sep%202020%2011:59:11%20GMT	https://enjin.io/category/%22https://assets-global.website-files.com/5d56cb37dc00727a4f69850c/5f0528053cd097c3e8915989_5f04b4224229e2656947b20c_mockup-0dc9b482.jpeg%22	enjin.io/category/_https_/assets-global.website-files.com/5d56cb37dc00727a4f69850c/5f0528053cd097c3e8915989_5f04b4224229e2656947b20c_mockup-0dc9b482.jpeg_	(from https://enjin.io/category/apparel)
21:59:12	65871/65871	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20Sep%202020%2011:59:12%20GMT	https://enjin.io/product/enjin-coin-unisex-hoodie	enjin.io/product/enjin-coin-unisex-hoodie.html	(from https://enjin.io/category/apparel)
21:59:13	66049/66049	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20Sep%202020%2011:59:13%20GMT	https://enjin.io/product/hodl-unisex-hoodie	enjin.io/product/hodl-unisex-hoodie.html	(from https://enjin.io/category/apparel)
21:59:15	60195/60195	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20Sep%202020%2011:59:15%20GMT	https://enjin.io/category/apparel?739c8048_page=2	enjin.io/category/apparelb0b2.html	(from https://enjin.io/category/apparel)
21:59:15	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2027%20Sep%202020%2011:59:15%20GMT	https://enjin.io/category/%22https://assets-global.website-files.com/5d56cb37dc00727a4f69850c/5f3d8455565701a38c1efdfe_adopter-merch-collection-1000px.png%22	enjin.io/category/_https_/assets-global.website-files.com/5d56cb37dc00727a4f69850c/5f3d8455565701a38c1efdfe_adopter-merch-collection-1000px.png_	(from https://enjin.io/category/adopter-collection)
21:59:16	65074/65074	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20Sep%202020%2011:59:16%20GMT	https://enjin.io/product/9lives-arena-beanie	enjin.io/product/9lives-arena-beanie.html	(from https://enjin.io/category/adopter-collection)
21:59:17	65021/65021	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20Sep%202020%2011:59:17%20GMT	https://enjin.io/product/kingom-karnage-mug	enjin.io/product/kingom-karnage-mug.html	(from https://enjin.io/category/adopter-collection)
21:59:19	65842/65842	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20Sep%202020%2011:59:19%20GMT	https://enjin.io/product/paint-my-world-pillow	enjin.io/product/paint-my-world-pillow.html	(from https://enjin.io/category/adopter-collection)
21:59:19	66098/66098	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20Sep%202020%2011:59:19%20GMT	https://enjin.io/product/spirit-clash-t-shirt	enjin.io/product/spirit-clash-t-shirt.html	(from https://enjin.io/category/adopter-collection)
